"类型","题目","选项","答案"
"多选题","可疑交易符合哪些情形的，金融机构应当在向中国反洗钱监测分析中心提交可疑交易报告的同时，以电子形式或书面形式向所在地中国人民银行或者其分支机构报告，并配合反洗钱调查？（   ）","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的
d：正常交易的","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的"
"多选题","我行对于哪类名单客户必须要经过分行级高级管理层签字审批后，才可以开户或建立业务关系？（   ）","a：特殊名单
b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户
d：灰名单","b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户"
"单选题","员工异常行为监督管理工作组实行例会办法（事业部分部在当地分行参加例会），例会（   ）召开一次，特殊情况可随时召开。","a：每半年
b：每月
c：每季度
d：每两月","c：每季度"
"单选题","根据《银行业从业人员职业操守和行为准则》，银行从业人员的以下做法正确的是（   ）。","a：参与非法吸收公众存款
b：非法向在校学生发放贷款
c：为特定客户优于同等条件办理高端信用卡
d：发现泄密事件，立即采取相关措施","d：发现泄密事件，立即采取相关措施"
"多选题","《金融机构客户身份识别和客户身份资料及交易记录保存管理办法》规定：金融机构应当按照（   ）的原则，妥善保存客户身份资料和交易记录，确保能足以重现每项交易，以提供识别客户身份、监测分析交易情况、调查可疑交易活动和查处洗钱案件所需的信息。","a：安全
b：准确
c：完整
d：保密","a：安全
b：准确
c：完整
d：保密"
"多选题","收单机构应对无卡自助消费业务申请人的（   ）进行核验。","a：身份信息
b：联系方式
c：营业执照
d：支付卡片","a：身份信息
d：支付卡片"
"多选题","对于支付机构向客户开户银行发送支付指令，扣划客户银行账户资金的，银行应当执行下列要求：（   ）。","a：银行应当事先或在首笔交易时自主识别客户身份并与客户直接签订授权协议
b：明确约定扣款适用范围和交易验证方式
c：设立与客户风险承受能力相匹配的单笔和单日累计交易限额
d：承诺无条件全额承担此类交易的风险损失先行赔付责任
e：不承担任何责任","a：银行应当事先或在首笔交易时自主识别客户身份并与客户直接签订授权协议
b：明确约定扣款适用范围和交易验证方式
c：设立与客户风险承受能力相匹配的单笔和单日累计交易限额
d：承诺无条件全额承担此类交易的风险损失先行赔付责任"
"多选题","代收业务的特征是包括：（   ）。","a：收款人相对固定
b：场景相对固定
c：付款频率或额度等由收款人与付款人事先约定
d：付款人不需对交易进行逐笔确认","a：收款人相对固定
b：场景相对固定
c：付款频率或额度等由收款人与付款人事先约定
d：付款人不需对交易进行逐笔确认"
"多选题","依据法律法规和相关监管规定免于办理工商注册登记的实体特约商户（小微商户），收单机构在遵循“了解你的客户”原则的前提下，可以通过审核（   ）和（   ）为其提供收单服务。","a：主要负责人身份证明文件
b：辅助证明资料
c：无需审核
d：微信","a：主要负责人身份证明文件
b：辅助证明资料"
"多选题","《中国人民银行办公厅关于进一步加强无证经营支付业务政治工作的通知》中持证机构包括（   ）。","a：银联
b：网联
c：通联
d：天天基金","a：银联
b：网联
c：通联"
"判断题","目前我国的数字人民币试点省市基本涵盖长三角、珠三角、京津冀、中部、西部、东北、西北等不同地区。","a：正确
b：错误","a：正确"
"判断题","客户换卡后，原卡签约的跨行通协议会自动转到新卡上。","a：正确
b：错误","b：错误"
"判断题","协议类支付产品是指客户不需开通网银，在事先或首笔交易时，通过提供银行账号、手机号、户名、证件号等协议约定的鉴权要素完成发卡银行身份认证及签约，并依据协议号及短信验证码等我行认可的交易验证后，完成资金扣划的网络支付收单产品。","a：正确
b：错误","a：正确"
"判断题","合规经营评级采用50分制，设定3项减分评分标准。","a：正确
b：错误","b：错误"
"多选题","乘车码支持开通（   ）。","a：委托代扣
b：小额免密
c：免登录付款展码乘车
d：他人代付","b：小额免密
c：免登录付款展码乘车"
"判断题","“银联刷脸付”（简称“刷脸付”），是指持卡人在我行手机银行客户端或银联云闪付客户端等渠道,在银联卡特约商户（以下简称“商户”）通过人脸信息识别和支付口令进行客户身份信息验证后，即可完成支付的金融服务。","a：正确
b：错误","a：正确"
"多选题","代收业务适用场景规定，代收业务根据授权模式不同分为（   ）适用场景及（   ）适用场景。","a：两两授权
b：三方协议
c：三方授权
d：单方授权","a：两两授权
b：三方协议"
"多选题","为防范风险，履行合规要求，下列哪些业务不能交与外包服务机构处理？（   ）","a：商户资质审核
b：协议签署
c：资金结算
d：风险监测
e：商户拓展","a：商户资质审核
b：协议签署
c：资金结算
d：风险监测"
"单选题","根据《中国人民银行关于规范代收业务的通知》（银发[2020]248号，《中国民生银行收付易业务管理办法》、《网络支付特约商户收单与服务管理办法》等内外制度规范，各分行拓展的（   ）商户，均须在本指引相关要求下拓展业务。","a：一级
b：二级
c：三级
d：一、二级","d：一、二级"
"判断题","民生付根据交易发生时的原交易信息发起退货交易，按原路径退回至相应账户。若原交易账户已撤销的，则退至付款人指定的本人其他银行账户。","a：正确
b：错误","a：正确"
"多选题","宝付易产品支持客户锁定产品包括（   ）。","a：如意宝
b：活期
c：安心存
d：流金盈","b：活期
d：流金盈"
"多选题","代收业务中资金归集场景需符合：（   ）、（   ）、（   ）关系的企业上下游资金归集等。","a：同一法人控股集团内收款
b：同一品牌特许经营类收款
c：合法资金收付协议
d：以上都不对","a：同一法人控股集团内收款
b：同一品牌特许经营类收款
c：合法资金收付协议"
"判断题","当前阶段，我行的对公数字人民币业务试行白名单管理机制。","a：正确
b：错误","a：正确"
"多选题","缴费通可广泛应用于有批量收款需求的业务场景。如：（   ）等。","a：校园学杂费代收
b：企业收款
c：物管费代收
d：以上都不对","a：校园学杂费代收
b：企业收款
c：物管费代收
d：以上都不对"
"多选题","可疑交易符合哪些情形的，金融机构应当在向中国反洗钱监测分析中心提交可疑交易报告的同时，以电子形式或书面形式向所在地中国人民银行或者其分支机构报告，并配合反洗钱调查？（   ）","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的
d：正常交易的","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的"
